日期,单位净值,累计净值,涨跌幅
2021-07-21,2.9224,2.9224,0.14
2021-07-20,2.9183,2.9183,-0.35
2021-07-19,2.9286,2.9286,-0.23
2021-07-16,2.9354,2.9354,0.13
2021-07-15,2.9317,2.9317,1.26
2021-07-14,2.8952,2.8952,-0.29
2021-07-13,2.9035,2.9035,1.21
2021-07-12,2.8689,2.8689,1.53
2021-07-09,2.8256,2.8256,-0.36
2021-07-08,2.8359,2.8359,-3.03
2021-07-07,2.9245,2.9245,0.74
2021-07-06,2.9031,2.9031,0.36
2021-07-05,2.8928,2.8928,-1.36
2021-07-02,2.9328,2.9328,-3.28
2021-07-01,3.0324,3.0324,0.6
2021-06-30,3.0144,3.0144,0.34
2021-06-29,3.0041,3.0041,-1.9
2021-06-28,3.0622,3.0622,-0.07
2021-06-25,3.0644,3.0644,2.45
2021-06-24,2.991,2.991,1.33
2021-06-23,2.9518,2.9518,-0.29
2021-06-22,2.9605,2.9605,0.07
2021-06-21,2.9584,2.9584,-0.28
2021-06-18,2.9668,2.9668,-0.4
2021-06-17,2.9786,2.9786,0.41
2021-06-16,2.9664,2.9664,-1.41
2021-06-15,3.0088,3.0088,-1.09
2021-06-11,3.0421,3.0421,-1.6
2021-06-10,3.0916,3.0916,1.08
2021-06-09,3.0587,3.0587,0.32
2021-06-08,3.049,3.049,-2.46
2021-06-07,3.126,3.126,-0.48
2021-06-04,3.1411,3.1411,0.62
2021-06-03,3.1219,3.1219,-0.7
2021-06-02,3.1438,3.1438,-0.93
2021-06-01,3.1733,3.1733,1.34
2021-05-31,3.1313,3.1313,1.65
2021-05-28,3.0805,3.0805,-0.68
2021-05-27,3.1016,3.1016,-0.2
2021-05-26,3.1078,3.1078,0.07
2021-05-25,3.1056,3.1056,4.17
2021-05-24,2.9813,2.9813,0.93
2021-05-21,2.9538,2.9538,-0.43
2021-05-20,2.9665,2.9665,1.09
2021-05-19,2.9345,2.9345,-0.46
2021-05-18,2.9482,2.9482,0.56
2021-05-17,2.9318,2.9318,2.29
2021-05-14,2.8662,2.8662,1.16
2021-05-13,2.8333,2.8333,-0.79
2021-05-12,2.856,2.856,1.17
2021-05-11,2.8229,2.8229,0.24
2021-05-10,2.8161,2.8161,-1.52
2021-05-07,2.8597,2.8597,-1.42
2021-05-06,2.901,2.901,-2.4
2021-04-30,2.9722,2.9722,-1.5
2021-04-29,3.0175,3.0175,0.57
2021-04-28,3.0005,3.0005,0.48
2021-04-27,2.9863,2.9863,0.84
2021-04-26,2.9613,2.9613,-0.77
2021-04-23,2.9844,2.9844,2.23
2021-04-22,2.9193,2.9193,0.24
2021-04-21,2.9122,2.9122,-0.2
2021-04-20,2.9181,2.9181,0.69
2021-04-19,2.8982,2.8982,1.82
2021-04-16,2.8464,2.8464,1.37
2021-04-15,2.8078,2.8078,-0.46
2021-04-14,2.8208,2.8208,1.09
2021-04-13,2.7903,2.7903,-0.36
2021-04-12,2.8004,2.8004,-1.54
2021-04-09,2.8442,2.8442,-1.96
2021-04-08,2.901,2.901,0.79
2021-04-07,2.8782,2.8782,-2.91
2021-04-06,2.9644,2.9644,-0.71
2021-04-02,2.9855,2.9855,1.73
2021-04-01,2.9347,2.9347,3.14
2021-03-31,2.8453,2.8453,-0.78
2021-03-30,2.8677,2.8677,1.34
2021-03-29,2.8299,2.8299,-0.62
2021-03-26,2.8476,2.8476,3.23
2021-03-25,2.7584,2.7584,-0.69
2021-03-24,2.7775,2.7775,-1.92
2021-03-23,2.8318,2.8318,-0.86
2021-03-22,2.8564,2.8564,0.15
2021-03-19,2.852,2.852,-2.39
2021-03-18,2.9218,2.9218,2.23
2021-03-17,2.8582,2.8582,0.03
2021-03-16,2.8573,2.8573,1.94
2021-03-15,2.8028,2.8028,-2.81
2021-03-12,2.8839,2.8839,-0.97
2021-03-11,2.9122,2.9122,4.38
2021-03-10,2.7899,2.7899,2
2021-03-09,2.7353,2.7353,-1.86
2021-03-08,2.7872,2.7872,-5.74
2021-03-05,2.957,2.957,-0.26
2021-03-04,2.9647,2.9647,-4.25
2021-03-03,3.0963,3.0963,2.81
2021-03-02,3.0117,3.0117,-1.76
2021-03-01,3.0655,3.0655,2.62
2021-02-26,2.9872,2.9872,-4.02
2021-02-25,3.1122,3.1122,-0.53
2021-02-24,3.1287,3.1287,-5.13
2021-02-23,3.2979,3.2979,-0.11
2021-02-22,3.3015,3.3015,-5.05
2021-02-19,3.477,3.477,0.46
2021-02-18,3.461,3.461,-1.92
2021-02-10,3.5287,3.5287,3.13
2021-02-09,3.4215,3.4215,1.21
2021-02-08,3.3807,3.3807,0.92
2021-02-05,3.35,3.35,1.26
2021-02-04,3.3084,3.3084,-0.02
2021-02-03,3.3092,3.3092,1.22
2021-02-02,3.2692,3.2692,2.07
2021-02-01,3.203,3.203,2.24
2021-01-29,3.1327,3.1327,0.49
2021-01-28,3.1174,3.1174,-2.24
2021-01-27,3.1889,3.1889,-1.56
2021-01-26,3.2393,3.2393,-2.58
2021-01-25,3.325,3.325,5.05
2021-01-22,3.1652,3.1652,1.12
2021-01-21,3.1302,3.1302,1.41
2021-01-20,3.0868,3.0868,1.86
2021-01-19,3.0303,3.0303,0.53
2021-01-18,3.0143,3.0143,1.09
2021-01-15,2.9819,2.9819,-0.55
2021-01-14,2.9985,2.9985,-0.04
2021-01-13,2.9997,2.9997,-1.11
2021-01-12,3.0335,3.0335,1.46
2021-01-11,2.9898,2.9898,-1.35
2021-01-08,3.0306,3.0306,-0.61
2021-01-07,3.0491,3.0491,0.13
2021-01-06,3.0452,3.0452,1.02
2021-01-05,3.0144,3.0144,3.23
2021-01-04,2.9202,2.9202,1.89
2020-12-31,2.8661,2.8661,1.59
2020-12-30,2.8212,2.8212,2.45
2020-12-29,2.7537,2.7537,0.5
2020-12-28,2.7401,2.7401,0.26
2020-12-25,2.7329,2.7329,0.11
2020-12-24,2.7299,2.7299,-0.51
2020-12-23,2.744,2.744,0.54
2020-12-22,2.7293,2.7293,0.38
2020-12-21,2.719,2.719,0.9
2020-12-18,2.6947,2.6947,-0.66
2020-12-17,2.7125,2.7125,1.74
2020-12-16,2.6661,2.6661,1.33
2020-12-15,2.631,2.631,-0.73
2020-12-14,2.6503,2.6503,0.33
2020-12-11,2.6417,2.6417,0.4
2020-12-10,2.6311,2.6311,0.52
2020-12-09,2.6175,2.6175,-0.32
2020-12-08,2.626,2.626,0.49
2020-12-07,2.6132,2.6132,-0.72
2020-12-04,2.6321,2.6321,2.31
2020-12-03,2.5726,2.5726,1.24
2020-12-02,2.541,2.541,-0.99
2020-12-01,2.5665,2.5665,1.38
2020-11-30,2.5316,2.5316,-2.57
2020-11-27,2.5983,2.5983,0.86
2020-11-26,2.5762,2.5762,0.99
2020-11-25,2.551,2.551,-2.87
2020-11-24,2.6263,2.6263,0.61
2020-11-23,2.6103,2.6103,0.47
2020-11-20,2.598,2.598,1.87
2020-11-19,2.5504,2.5504,0.14
2020-11-18,2.5469,2.5469,-0.81
2020-11-17,2.5676,2.5676,-2.02
2020-11-16,2.6206,2.6206,2.22
2020-11-13,2.5637,2.5637,0.11
2020-11-12,2.5609,2.5609,1.64
2020-11-11,2.5196,2.5196,-2.37
2020-11-10,2.5808,2.5808,-0.47
2020-11-09,2.5929,2.5929,1.89
2020-11-06,2.5449,2.5449,-0.86
2020-11-05,2.567,2.567,2.06
2020-11-04,2.5153,2.5153,0.72
2020-11-03,2.4973,2.4973,0.81
2020-11-02,2.4773,2.4773,1.17
2020-10-30,2.4487,2.4487,-2.26
2020-10-29,2.5053,2.5053,2.11
2020-10-28,2.4535,2.4535,2.68
2020-10-27,2.3894,2.3894,1.19
2020-10-26,2.3612,2.3612,0.12
2020-10-23,2.3584,2.3584,-1.54
2020-10-22,2.3954,2.3954,0.71
2020-10-21,2.3784,2.3784,0.4
2020-10-20,2.369,2.369,1.81
2020-10-19,2.3269,2.3269,-0.48
2020-10-16,2.3381,2.3381,-0.34
2020-10-15,2.346,2.346,-1.23
2020-10-14,2.3752,2.3752,-0.09
2020-10-13,2.3773,2.3773,1.17
2020-10-12,2.3497,2.3497,3.08
2020-10-09,2.2796,2.2796,2.26
2020-09-30,2.2292,2.2292,0.91
2020-09-29,2.2092,2.2092,-0.28
2020-09-28,2.2155,2.2155,1.1
2020-09-25,2.1915,2.1915,-0.15
2020-09-24,2.1948,2.1948,-1.77
2020-09-23,2.2343,2.2343,0.55
2020-09-22,2.2221,2.2221,-0.59
2020-09-21,2.2352,2.2352,-1.33
2020-09-18,2.2653,2.2653,0.8
2020-09-17,2.2474,2.2474,-1.96
2020-09-16,2.2924,2.2924,-0.86
2020-09-15,2.3122,2.3122,0.3
2020-09-14,2.3052,2.3052,0.75
2020-09-11,2.288,2.288,1.99
2020-09-10,2.2433,2.2433,0.53
2020-09-09,2.2314,2.2314,-1.32
2020-09-08,2.2612,2.2612,-1.96
2020-09-07,2.3065,2.3065,-1.94
2020-09-04,2.3521,2.3521,-1.59
2020-09-03,2.3901,2.3901,0.32
2020-09-02,2.3824,2.3824,0.32
2020-09-01,2.3748,2.3748,0.07
2020-08-31,2.3732,2.3732,-0.59
2020-08-28,2.3873,2.3873,1.71
2020-08-27,2.3472,2.3472,0.63
2020-08-26,2.3325,2.3325,0.26
2020-08-25,2.3265,2.3265,1.13
2020-08-24,2.3006,2.3006,2.57
2020-08-21,2.2429,2.2429,1.3419
2020-08-20,2.2132,2.2132,-1.086
2020-08-19,2.2375,2.2375,-0.7012
2020-08-18,2.2533,2.2533,0.9091
2020-08-17,2.233,2.233,1.5693
2020-08-14,2.1985,2.1985,1.5192
