日期,单位净值,累计净值,涨跌幅
2021-08-17,1.2349,2.866,-4.62
2021-08-16,1.2947,2.9258,0.26
2021-08-13,1.2914,2.9225,0.8
2021-08-12,1.2812,2.9123,-1.73
2021-08-11,1.3038,2.9349,-1.61
2021-08-10,1.3251,2.9562,6.48
2021-08-09,1.2445,2.8756,1.06
2021-08-06,1.2314,2.8625,-0.39
2021-08-05,1.2362,2.8673,-1.37
2021-08-04,1.2534,2.8845,-1.59
2021-08-03,1.2736,2.9047,0.95
2021-08-02,1.2616,2.8927,5.49
2021-07-30,1.1959,2.827,-6.03
2021-07-29,1.2726,2.9037,-1.52
2021-07-28,1.2922,2.9233,0.85
2021-07-27,1.2813,2.9124,-3.6
2021-07-26,1.3292,2.9603,-7.24
2021-07-23,1.4329,3.064,-2.29
2021-07-22,1.4665,3.0976,-1.95
2021-07-21,1.4956,3.1267,-0.08
2021-07-20,1.4968,3.1279,0.07
2021-07-19,1.4957,3.1268,0.88
2021-07-16,1.4826,3.1137,-0.84
2021-07-15,1.4951,3.1262,2.64
2021-07-14,1.4567,3.0878,0.57
2021-07-13,1.4485,3.0796,2.51
2021-07-12,1.413,3.0441,0.83
2021-07-09,1.4013,3.0324,-3.41
2021-07-08,1.4508,3.0819,-1.53
2021-07-07,1.4733,3.1044,1.31
2021-07-06,1.4543,3.0854,-0.11
2021-07-05,1.4559,3.087,0.85
2021-07-02,1.4436,3.0747,-3.97
2021-07-01,1.5033,3.1344,1.26
2021-06-30,1.4846,3.1157,0.86
2021-06-29,1.472,3.1031,-2.03
2021-06-28,1.5025,3.1336,0.81
2021-06-25,1.4905,3.1216,2.05
2021-06-24,1.4605,3.0916,0.87
2021-06-23,1.4479,3.079,-3.43
2021-06-22,1.4993,3.1304,0.58
2021-06-21,1.4907,3.1218,-0.82
2021-06-18,1.5031,3.1342,-1.61
2021-06-17,1.5277,3.1588,2
2021-06-16,1.4978,3.1289,-1.34
2021-06-15,1.5182,3.1493,-0.04
2021-06-11,1.5188,3.1499,-3.09
2021-06-10,1.5673,3.1984,1.69
2021-06-09,1.5412,3.1723,0.11
2021-06-08,1.5395,3.1706,-6.5
2021-06-07,1.6466,3.2777,1.61
2021-06-04,1.6205,3.2516,1.92
2021-06-03,1.59,3.2211,1.52
2021-06-02,1.5662,3.1973,-1.45
2021-06-01,1.5893,3.2204,1.2
2021-05-31,1.5704,3.2015,0.58
2021-05-28,1.5613,3.1924,0.13
2021-05-27,1.5593,3.1904,0.55
2021-05-26,1.5507,3.1818,-0.86
2021-05-25,1.5642,3.1953,3.49
2021-05-24,1.5114,3.1425,2.63
2021-05-21,1.4726,3.1037,0.29
2021-05-20,1.4683,3.0994,2.46
2021-05-19,1.4331,3.0642,-0.84
2021-05-18,1.4453,3.0764,0.19
2021-05-17,1.4426,3.0737,1.95
2021-05-14,1.415,3.0461,1.45
2021-05-13,1.3948,3.0259,0.19
2021-05-12,1.3922,3.0233,1.61
2021-05-11,1.3701,3.0012,3.51
2021-05-10,1.3236,2.9547,-1.7
2021-05-07,1.3465,2.9776,-1.67
2021-05-06,1.3694,3.0005,-3.05
2021-04-30,1.4125,3.0436,-1.16
2021-04-29,1.4291,3.0602,-0.12
2021-04-28,1.4308,3.0619,2.51
2021-04-27,1.3957,3.0268,1.38
2021-04-26,1.3767,3.0078,-1.43
2021-04-23,1.3967,3.0278,1.13
2021-04-22,1.3811,3.0122,-0.02
2021-04-21,1.3814,3.0125,2.45
2021-04-20,1.3483,2.9794,1.14
2021-04-19,1.3331,2.9642,1.24
2021-04-16,1.3168,2.9479,2.46
2021-04-15,1.2852,2.9163,-0.76
2021-04-14,1.295,2.9261,1.27
2021-04-13,1.2788,2.9099,0.9
2021-04-12,1.2674,2.8985,0.1
2021-04-09,1.2661,2.8972,-2.82
2021-04-08,1.3029,2.934,1.93
2021-04-07,1.2782,2.9093,-4.43
2021-04-06,1.3374,2.9685,-1.41
2021-04-02,1.3565,2.9876,4.78
2021-04-01,1.2946,2.9257,2.42
2021-03-31,1.264,2.8951,-1.75
2021-03-30,1.2865,2.9176,0.4
2021-03-29,1.2814,2.9125,1.8
2021-03-26,1.2588,2.8899,3.65
2021-03-25,1.2145,2.8456,-0.74
2021-03-24,1.2235,2.8546,0.07
2021-03-23,1.2227,2.8538,0.94
2021-03-22,1.2113,2.8424,0.46
2021-03-19,1.2058,2.8369,-2.67
2021-03-18,1.2389,2.87,2.95
2021-03-17,1.2034,2.8345,1.25
2021-03-16,1.1886,2.8197,2.71
2021-03-15,1.1572,2.7883,-4.89
2021-03-12,1.2167,2.8478,0.4
2021-03-11,1.2119,2.843,3.87
2021-03-10,1.1668,2.7979,3.67
2021-03-09,1.1255,2.7566,-3.22
2021-03-08,1.1629,2.794,-7.12
2021-03-05,1.2521,2.8832,1.18
2021-03-04,1.2375,2.8686,-4.98
2021-03-03,1.3024,2.9335,2.43
2021-03-02,1.2715,2.9026,-2.75
2021-03-01,1.3075,2.9386,0.58
2021-02-26,1.2999,2.931,-2.8
2021-02-25,1.3373,2.9684,-1.43
2021-02-24,1.3567,2.9878,-5.52
2021-02-23,1.436,3.0671,0.33
2021-02-22,1.4313,3.0624,-7.9
2021-02-19,1.5541,3.1852,-0.58
2021-02-18,1.5632,3.1943,-3.49
2021-02-10,1.6198,3.2509,4.92
2021-02-09,1.5439,3.175,2.34
2021-02-08,1.5086,3.1397,0.01
2021-02-05,1.5084,3.1395,1.1
2021-02-04,1.492,3.1231,0.55
2021-02-03,1.4838,3.1149,-0.04
2021-02-02,1.4844,3.1155,4.37
2021-02-01,1.4223,3.0534,-0.22
2021-01-29,1.4254,3.0565,1.84
2021-01-28,1.3997,3.0308,-1.28
2021-01-27,1.4179,3.049,-2.88
2021-01-26,1.4599,3.091,-2.24
2021-01-25,1.4934,3.1245,6.35
2021-01-22,1.4042,3.0353,-0.75
2021-01-21,1.4148,3.0459,2.98
2021-01-20,1.3739,3.005,0.77
2021-01-19,1.3634,2.9945,-2.02
2021-01-18,1.3915,3.0226,-1.84
2021-01-15,1.4176,3.0487,-3.1
2021-01-14,1.4629,3.094,-3.13
2021-01-13,1.5102,3.1413,-0.93
2021-01-12,1.5243,3.1554,3.06
2021-01-11,1.4791,3.1102,-3.24
2021-01-08,1.5287,3.1598,-2.99
2021-01-07,1.5758,3.2069,1.45
2021-01-06,1.5533,3.1844,0.29
2021-01-05,1.5488,3.1799,5.12
2021-01-04,1.4734,3.1045,3.28
2020-12-31,1.4266,3.0577,1.78
2020-12-30,1.4017,3.0328,2.19
2020-12-29,1.3717,3.0028,-1.1
2020-12-28,1.3869,3.018,4.93
2020-12-25,1.3217,2.9528,-0.02
2020-12-24,1.3219,2.953,-1.91
2020-12-23,1.3476,2.9787,-0.56
2020-12-22,1.3552,2.9863,1.8
2020-12-21,1.3313,2.9624,0.48
2020-12-18,1.3249,2.956,0.25
2020-12-17,1.3216,2.9527,2.78
2020-12-16,1.2858,2.9169,2.3
2020-12-15,1.2569,2.888,-0.59
2020-12-14,1.2713,2.8955,2.34
2020-12-11,1.2422,2.8664,0.57
2020-12-10,1.2352,2.8594,0.84
2020-12-09,1.2249,2.8491,-0.46
2020-12-08,1.2305,2.8547,1.53
2020-12-07,1.212,2.8362,0.32
2020-12-04,1.2081,2.8323,3.4
2020-12-03,1.1684,2.7926,0.99
2020-12-02,1.1569,2.7811,-0.03
2020-12-01,1.1573,2.7815,0.87
2020-11-30,1.1473,2.7715,-3.01
2020-11-27,1.1829,2.8071,0.6
2020-11-26,1.1758,2.8,0.5
2020-11-25,1.1699,2.7941,-3.51
2020-11-24,1.2125,2.8367,0.6
2020-11-23,1.2053,2.8295,1.03
2020-11-20,1.193,2.8172,1.49
2020-11-19,1.1755,2.7997,0.38
2020-11-18,1.171,2.7952,-1.62
2020-11-17,1.1903,2.8145,-1.37
2020-11-16,1.2068,2.831,3.88
2020-11-13,1.1617,2.7859,-3.43
2020-11-12,1.2029,2.8271,1.75
2020-11-11,1.1822,2.8064,0.12
2020-11-10,1.1808,2.805,2.15
2020-11-09,1.156,2.7802,1.91
2020-11-06,1.1343,2.7585,-0.66
2020-11-05,1.1418,2.766,1.89
2020-11-04,1.1206,2.7448,0.48
2020-11-03,1.1152,2.7394,1.1
2020-11-02,1.1031,2.7273,1.67
2020-10-30,1.085,2.7092,-2.83
2020-10-29,1.1166,2.7408,2.84
2020-10-28,1.0858,2.71,3.27
2020-10-27,1.0514,2.6756,0.91
2020-10-26,1.0419,2.6661,-1.08
2020-10-23,1.0533,2.6775,-2.54
2020-10-22,1.0808,2.705,1.85
2020-10-21,1.0612,2.6854,0.32
2020-10-20,1.0578,2.682,3.16
2020-10-19,1.0254,2.6496,-0.76
